ID;Semester;HZBNote;Art
191;4011;2;allgemeine Hochschulreife
380;4011;2;allgemeine Hochschulreife
657;4011;3;allgemeine Hochschulreife
1599;4011;3;allgemeine Hochschulreife
1346;4011;3;allgemeine Hochschulreife
1546;4011;3;allgemeine Hochschulreife
360;4020;3;allgemeine Hochschulreife
2606;4020;3;allgemeine Hochschulreife
1139;4020;4;allgemeine Hochschulreife
1061;4020;3;allgemeine Hochschulreife
1056;4021;3;allgemeine Hochschulreife
163;4021;2;allgemeine Hochschulreife
1909;4022;2;allgemeine Hochschulreife
600;4022;2;allgemeine Hochschulreife
1240;4022;3;allgemeine Hochschulreife
473;4022;3;allgemeine Hochschulreife
1393;4023;2;allgemeine Hochschulreife
1156;4030;3;allgemeine Hochschulreife
456;4023;2;allgemeine Hochschulreife
89;4023;2;allgemeine Hochschulreife
251;4023;2;allgemeine Hochschulreife
1744;4023;3;allgemeine Hochschulreife
1676;4023;2;allgemeine Hochschulreife
2128;4023;2;allgemeine Hochschulreife
419;4023;2;allgemeine Hochschulreife
590;4023;2;allgemeine Hochschulreife
851;4023;2;allgemeine Hochschulreife
1880;4024;3;allgemeine Hochschulreife
718;4023;2;allgemeine Hochschulreife
1902;4027;3;allgemeine Hochschulreife
93;4027;2;allgemeine Hochschulreife
914;4025;3;allgemeine Hochschulreife
2653;4025;3;allgemeine Hochschulreife
814;4025;2;allgemeine Hochschulreife
2039;4026;3;allgemeine Hochschulreife
2227;4025;2;allgemeine Hochschulreife
1113;4025;2;allgemeine Hochschulreife
2186;4027;3;allgemeine Hochschulreife
1046;4025;3;allgemeine Hochschulreife
537;4020;2;allgemeine Hochschulreife
1660;4020;0;Studiengenehmigung (ohne Hochschulreife)
492;4020;3;allgemeine Hochschulreife
989;4020;3;allgemeine Hochschulreife
71;4020;3;allgemeine Hochschulreife
172;4020;2;allgemeine Hochschulreife
2540;4020;3;allgemeine Hochschulreife
189;4021;3;allgemeine Hochschulreife
1065;4022;3;allgemeine Hochschulreife
531;4022;3;allgemeine Hochschulreife
1002;4022;3;allgemeine Hochschulreife
2376;4022;3;allgemeine Hochschulreife
2620;4028;3;allgemeine Hochschulreife
441;4023;3;allgemeine Hochschulreife
712;4023;2;allgemeine Hochschulreife
2669;4023;2;allgemeine Hochschulreife
1494;4023;1;allgemeine Hochschulreife
2019;4023;1;allgemeine Hochschulreife
58;4023;3;allgemeine Hochschulreife
1823;4023;2;allgemeine Hochschulreife
1592;4023;;allgemeine Hochschulreife
488;4023;2;allgemeine Hochschulreife
666;4023;2;allgemeine Hochschulreife
1940;4023;2;allgemeine Hochschulreife
1874;4023;2;allgemeine Hochschulreife
2608;4023;1;allgemeine Hochschulreife
1017;4023;2;allgemeine Hochschulreife
1176;4023;3;allgemeine Hochschulreife
289;4024;4;allgemeine Hochschulreife
566;4024;3;allgemeine Hochschulreife
1369;4025;2;allgemeine Hochschulreife
498;4025;2;allgemeine Hochschulreife
1144;4025;2;allgemeine Hochschulreife
1340;4025;2;allgemeine Hochschulreife
1250;4025;3;allgemeine Hochschulreife
308;4027;3;allgemeine Hochschulreife
862;4025;3;allgemeine Hochschulreife
676;4025;3;allgemeine Hochschulreife
177;4025;2;allgemeine Hochschulreife
405;4025;2;allgemeine Hochschulreife
514;4025;2;allgemeine Hochschulreife
1810;4025;3;allgemeine Hochschulreife
1733;4027;3;allgemeine Hochschulreife
1268;4028;2;allgemeine Hochschulreife
2661;4028;3;allgemeine Hochschulreife
2030;4027;2;allgemeine Hochschulreife
1600;4027;2;allgemeine Hochschulreife
1812;4029;3;allgemeine Hochschulreife
1284;4030;3;allgemeine Hochschulreife
1165;4029;2;allgemeine Hochschulreife
9;4029;3;allgemeine Hochschulreife
1976;4029;2;allgemeine Hochschulreife
2391;4029;3;allgemeine Hochschulreife
2543;4030;3;allgemeine Hochschulreife
227;4030;2;allgemeine Hochschulreife
153;4023;2;allgemeine Hochschulreife
2044;4024;3;allgemeine Hochschulreife
32;4023;2;allgemeine Hochschulreife
1734;4026;2;allgemeine Hochschulreife
1255;4024;3;allgemeine Hochschulreife
1783;4024;;allgemeine Hochschulreife
2005;4029;3;allgemeine Hochschulreife
1923;4025;3;allgemeine Hochschulreife
296;4025;3;allgemeine Hochschulreife
1787;4025;3;allgemeine Hochschulreife
486;4025;2;allgemeine Hochschulreife
1651;4025;3;allgemeine Hochschulreife
790;4025;2;allgemeine Hochschulreife
1640;4025;2;allgemeine Hochschulreife
2036;4025;2;allgemeine Hochschulreife
402;4025;4;allgemeine Hochschulreife
2353;4025;3;allgemeine Hochschulreife
2363;4025;2;allgemeine Hochschulreife
2025;4025;2;allgemeine Hochschulreife
116;4025;2;allgemeine Hochschulreife
665;4025;3;allgemeine Hochschulreife
2041;4025;2;allgemeine Hochschulreife
2484;4026;2;allgemeine Hochschulreife
603;4028;3;allgemeine Hochschulreife
2392;4027;2;allgemeine Hochschulreife
1900;4027;3;allgemeine Hochschulreife
1621;4028;2;allgemeine Hochschulreife
2252;4028;4;allgemeine Hochschulreife
1073;4028;3;allgemeine Hochschulreife
212;4028;3;allgemeine Hochschulreife
2169;4027;2;allgemeine Hochschulreife
408;4029;3;allgemeine Hochschulreife
792;4029;2;allgemeine Hochschulreife
2283;4029;2;allgemeine Hochschulreife
704;4029;2;allgemeine Hochschulreife
1608;4029;2;allgemeine Hochschulreife
572;4029;3;allgemeine Hochschulreife
303;4030;3;allgemeine Hochschulreife
2290;4029;;allgemeine Hochschulreife
1580;4030;1;Studiengenehmigung (ohne Hochschulreife)
