ID;Unit;Semester;Note;BNF
8;143012;4019;3,3;5
8;143012;4019;5;5
8;143015;4019;4;5
8;143015;4019;NT;5
8;143017;4019;5;5
8;143019;4019;2,3;5
8;143039;4019;m.E.;E
8;143040;4019;m.E.;E
8;143041;4019;belegt;E
8;143043;4019;m.E.;E
8;143046;4019;2,3;5
8;143050;4019;belegt;E
8;143050;4019;m.E.;E
8;143010;4020;2,3;5
8;143010;4020;NT;5
8;143014;4020;2,3;5
8;143014;4020;5;5
8;143018;4020;NT;5
8;143018;4020;NT;5
8;143021;4020;5;5
8;143021;4020;4;5
8;143023;4020;NT;5
8;143023;4020;NT;5
8;143024;4020;2,3;5
8;143024;4020;NT;5
8;143025;4020;3,3;5
8;143025;4020;5;5
8;143026;4020;belegt;E
8;143027;4020;5;5
8;143027;4020;NT;5
8;143029;4020;3,3;5
8;143033;4020;NT;5
8;143041;4020;belegt;E
8;143041;4020;m.E.;E
8;143045;4020;belegt;E
8;143045;4020;m.E.;E
8;143049;4020;belegt;E
8;143053;4020;NT;5
8;143054;4020;m.E.;E
8;143055;4020;3,3;5
8;143056;4020;NT;5
8;143056;4020;NT;5
8;143061;4020;belegt;E
8;143008;4021;NT;5
8;143016;4021;2,3;5
8;143016;4021;5;5
8;143017;4021;3,3;5
8;143017;4021;NT;5
8;143018;4021;3,3;5
8;143018;4021;5;5
8;143022;4021;4;5
8;143022;4021;5;5
8;143023;4021;5;5
8;143023;4021;5;5
8;143026;4021;o.E.;E
8;143027;4021;5;5
8;143027;4021;4;5
8;143033;4021;1,7;5
8;143039;4021;belegt;E
8;143039;4021;belegt;E
8;143047;4021;2,3;5
8;143049;4021;belegt;E
8;143049;4021;m.E.;E
8;143052;4021;belegt;E
8;143052;4021;m.E.;E
8;143053;4021;1,7;5
8;143056;4021;NT;5
8;143056;4021;NT;5
8;143061;4021;m.E.;E
8;143023;4022;2,3;5
8;143026;4022;m.E.;E
8;143026;4022;m.E.;E
8;143032;4022;2,3;5
8;143056;4022;NT;5
8;143056;4022;NT;5
8;143063;4022;4;5
8;143063;4022;NT;5
9;143001;4014;NT;5
9;143002;4014;NT;5
9;143003;4014;NT;5
9;143035;4014;belegt;E
9;143036;4014;belegt;E
10;143064;4024;5;5
10;143064;4024;NT;5
10;143132;4024;NT;5
10;143132;4024;NT;5
10;143133;4024;NT;5
10;143135;4024;NT;5
10;143135;4024;2,3;5
10;143137;4024;NT;5
10;143137;4024;NT;5
10;143009;4025;3,3;5
10;143009;4025;NT;5
10;143066;4025;NT;5
10;143066;4025;NT;5
10;143132;4025;NT;5
10;143132;4025;NT;5
10;143133;4025;NT;5
10;143137;4025;NT;5
10;143137;4025;NT;5
10;143140;4025;2,3;5
10;143140;4025;NT;5
10;143144;4025;3,3;5
10;143164;4025;NT;5
10;143164;4025;1,3;5
10;143013;4026;3,3;5
10;143013;4026;NT;5
10;143064;4026;4;5
10;143064;4026;NT;5
10;143149;4026;2,3;5
10;143149;4026;NT;5
10;143169;4026;2,3;5
10;143169;4026;NT;5
10;143010;4027;5;5
10;143010;4027;NT;5
10;143019;4027;NT;5
10;143019;4027;NT;5
10;143066;4027;5;5
10;143066;4027;NT;5
10;143105;4027;NT;5
10;143151;4027;5;5
10;143151;4027;NT;5
10;143158;4027;3,3;5
10;143158;4027;NT;5
10;143169;4027;3,3;5
10;143147;4028;NT;5
10;143151;4028;3,3;5
10;143151;4028;NT;5
10;143153;4028;NT;5
10;143153;4028;NT;5
10;143167;4028;NT;5
10;143167;4028;NT;5
10;143168;4028;5;5
10;143168;4028;NT;5
10;143010;4029;NT;5
10;143010;4029;NT;5
10;143019;4029;NT;5
10;143019;4029;NT;5
10;143132;4029;5;5
10;143132;4029;NT;5
10;143156;4029;NT;5
10;143163;4029;2,3;5
10;143163;4029;NT;5
10;143066;4030;4;5
10;143066;4030;NT;5
10;143137;4030;3,3;5
10;143137;4030;NT;5
10;143168;4030;NT;5
10;143010;4031;3,3;5
10;143010;4031;NT;5
10;143019;4031;2,3;5
10;143019;4031;NT;5
10;143132;4031;3,3;5
10;143153;4031;5;5
10;143153;4031;NT;5
10;143132;4032;3,3;5
10;143133;4032;1,7;5
10;143147;4032;1,7;5
10;143156;4032;NT;5
10;143156;4032;NT;5
10;143166;4032;NT;5
10;143167;4032;2,3;5
10;143167;4032;NT;5
10;143105;4033;1,3;5
10;143153;4033;NT;5
10;143153;4033;1,3;5
10;143156;4033;NT;5
10;143156;4033;2,3;5
10;143165;4033;3,3;5
10;143165;4033;NT;5
10;143168;4033;NT;5
10;143168;4033;NT;5
10;143162;4034;m.E.;E
10;143168;4034;4;5
10;143168;4034;NT;5
11;143001;4018;NT;5
11;143002;4018;NT;5
11;143003;4018;NT;5
11;143004;4018;NT;5
11;143005;4018;NT;5
11;143006;4018;NT;5
11;143035;4018;belegt;E
11;143036;4018;o.E.;E
11;143037;4018;o.E.;E
12;143064;4027;2,3;5
12;143064;4027;NT;5
12;143132;4027;3,3;5
12;143133;4027;NT;5
12;143133;4027;1,7;5
12;143135;4027;NT;5
12;143135;4027;1,3;5
12;143137;4027;NT;5
12;143137;4027;NT;5
12;143137;4027;1,3;5
12;143009;4028;3,3;5
12;143009;4028;NT;5
12;143010;4028;NT;5
12;143010;4028;NT;5
12;143066;4028;1,3;5
12;143066;4028;NT;5
12;143140;4028;NT;5
12;143140;4028;1,7;5
12;143144;4028;3,3;5
12;143144;4028;NT;5
12;143164;4028;1,7;5
12;143013;4029;NT;5
12;143013;4029;1,3;5
12;143147;4029;2,3;5
12;143147;4029;NT;5
12;143149;4029;2,3;5
12;143149;4029;NT;5
12;143153;4029;2,3;5
12;143153;4029;NT;5
12;143165;4029;5;5
12;143165;4029;NT;5
12;143169;4029;2,3;5
12;143169;4029;NT;5
12;143010;4030;NT;5
12;143010;4030;1,7;5
12;143019;4030;2,3;5
12;143105;4030;1,7;5
12;143151;4030;3,3;5
12;143158;4030;2,3;5
12;143158;4030;NT;5
12;143166;4030;NT;5
12;143166;4030;1,7;5
12;143156;4031;5;5
12;143156;4031;1,3;5
12;143163;4031;1,3;5
12;143165;4031;2,3;5
12;143165;4031;5;5
12;143167;4031;NT;5
12;143167;4031;1,3;5
12;143168;4031;5;5
12;143168;4031;NT;5
12;143179;4031;NT;5
12;143179;4031;1,3;5
12;143168;4032;3,3;5
12;143168;4032;NT;5
12;143162;4033;belegt;E
12;143162;4034;belegt;E
12;143173;4035;NT;5
12;143173;4035;1,3;5
12;143162;4036;belegt;E
13;143001;4017;NT;5
13;143002;4017;3,3;5
13;143002;4017;NT;5
13;143003;4017;2,3;5
13;143004;4017;4;5
13;143004;4017;NT;5
13;143005;4017;5;5
13;143005;4017;NT;5
13;143006;4017;2,3;5
13;143006;4017;NT;5
13;143035;4017;belegt;E
13;143036;4017;m.E.;E
13;143037;4017;m.E.;E
13;143005;4018;NT;5
13;143007;4018;NT;5
13;143008;4018;2,3;5
13;143008;4018;NT;5
13;143009;4018;NT;5
13;143010;4018;NT;5
13;143011;4018;2,3;5
13;143014;4018;NT;5
13;143038;4018;belegt;E
13;143039;4018;m.E.;E
13;143040;4018;o.E.;E
13;143041;4018;o.E.;E
13;143042;4018;m.E.;E
13;143045;4018;belegt;E
13;143001;4019;3,3;5
13;143005;4019;1,7;5
13;143006;4019;NT;5
13;143007;4019;4;5
13;143007;4019;NT;5
13;143009;4019;2,3;5
13;143010;4019;NT;5
13;143014;4019;3,3;5
13;143035;4019;m.E.;E
13;143038;4019;belegt;E
13;143038;4019;m.E.;E
13;143040;4019;m.E.;E
13;143041;4019;m.E.;E
13;143045;4019;m.E.;E
13;143010;4020;2,3;5
13;143013;4020;NT;5
13;143013;4020;1,3;5
13;143015;4020;2,3;5
13;143015;4020;NT;5
13;143016;4020;2,3;5
13;143016;4020;NT;5
13;143016;4020;NT;5
13;143017;4020;2,3;5
13;143017;4020;NT;5
13;143044;4020;m.E.;E
13;143046;4020;2,3;5
13;143047;4020;2,3;5
13;143048;4020;1,3;5
13;143012;4021;NT;5
13;143012;4021;1,7;5
13;143018;4021;NT;5
13;143018;4021;1,3;5
13;143019;4021;2,3;5
13;143019;4021;NT;5
13;143021;4021;2,3;5
13;143021;4021;NT;5
13;143023;4021;2,3;5
13;143023;4021;NT;5
13;143029;4021;NT;5
13;143043;4021;m.E.;E
13;143049;4021;m.E.;E
13;143050;4021;belegt;E
13;143050;4021;m.E.;E
13;143053;4021;1,3;5
13;143020;4022;1,3;5
13;143020;4022;NT;5
13;143022;4022;NT;5
13;143022;4022;NT;5
13;143024;4022;2,3;5
13;143024;4022;NT;5
13;143025;4022;NT;5
13;143025;4022;NT;5
13;143027;4022;5;5
13;143027;4022;NT;5
13;143029;4022;NT;5
13;143031;4022;1,3;5
13;143033;4022;NT;5
13;143051;4022;m.E.;E
13;143052;4022;belegt;E
13;143052;4022;belegt;E
13;143054;4022;belegt;E
13;143054;4022;m.E.;E
13;143055;4022;5;5
13;143061;4022;belegt;E
13;143022;4023;NT;5
13;143022;4023;NT;5
13;143025;4023;3,3;5
13;143025;4023;NT;5
13;143026;4023;m.E.;E
13;143027;4023;2,3;5
13;143027;4023;NT;5
13;143029;4023;1,3;5
13;143034;4023;1,3;5
13;143052;4023;belegt;E
13;143055;4023;1,3;5
13;143055;4023;NT;5
13;143062;4023;m.E.;E
13;143022;4024;2,3;5
13;143052;4024;m.E.;E
13;143063;4024;1,3;5
14;143001;4012;1,3;5
14;143002;4012;1,3;5
14;143003;4012;2,3;5
14;143004;4012;1,3;5
14;143005;4012;1,3;5
14;143006;4012;1,7;5
14;143035;4012;m.E.;E
14;143036;4012;m.E.;E
14;143037;4012;m.E.;E
14;143007;4013;2,3;5
14;143008;4013;1,3;5
14;143009;4013;1,3;5
14;143010;4013;1,3;5
14;143011;4013;1,7;5
14;143012;4013;2,3;5
14;143038;4013;m.E.;E
14;143039;4013;m.E.;E
14;143040;4013;m.E.;E
14;143041;4013;m.E.;E
14;143042;4013;belegt;E
14;143042;4013;m.E.;E
14;143043;4013;m.E.;E
14;143013;4014;1,3;5
14;143014;4014;1,3;5
14;143015;4014;1,3;5
14;143016;4014;1,7;5
14;143017;4014;1,3;5
14;143018;4014;2,3;5
14;143044;4014;m.E.;E
14;143045;4014;m.E.;E
14;143046;4014;1,3;5
14;143047;4014;1,7;5
14;143048;4014;1,7;5
